"","X","species","SVL","count","abu_cat","lat.range","maxGCD_extant","mean_lat","min_lat","Red.List.status","Order","Family","Genus","hab.cat"
"1148",1148,"Mantella viridis",25.9910626183823,7,3,0.290247271999988,111.323871569685,-11.901008646563,-11.5571962483041,"EN","ANURA","MANTELLIDAE","Mantella","highlow"
"1149",1149,"Mantidactylus aerumnalis",30.9985414870549,13,3,5.21475365700002,637.406736936367,-20.525474489443,-24.4929099399969,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1150",1150,"Mantidactylus albofrenatus",26.9952831395809,10,3,0.483766227000046,105.258646865668,-19.2603349050554,-19.9185237475857,"DD","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1151",1151,"Mantidactylus alutus",26.7813729234226,NA,3,3.90746642300002,457.411328706518,-20.8951926408708,-21.8480049224012,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1152",1152,"Mantidactylus ambohimitombi",65.5056961862929,NA,NA,0.169240713000022,104.610065309582,-19.4634417304427,-20.3279088174738,"DD","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1153",1153,"Mantidactylus ambreensis",35.5087203325843,NA,3,4.961560088,596.869954057465,-16.1513163367898,-17.2760593273863,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1154",1154,"Mantidactylus argenteus",30.9969278801512,20,3,5.83313178999998,700.293084317716,-18.2690041397681,-22.2577454524115,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1155",1155,"Mantidactylus bellyi",39.0035166967846,NA,4,2.36585092199999,351.071942913485,-12.9172720814835,-14.7170441975631,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1156",1156,"Mantidactylus betsileanus",37.0080467872508,29,4,11.999484062,1352.29059319534,-19.339326024269,-25.2294960788079,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1157",1157,"Mantidactylus biporus",33.9933024099702,13,3,11.267885208,1264.21529029855,-16.5689388697154,-25.8080294932239,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1158",1158,"Mantidactylus brevipalmatus",35.7774034127593,NA,3,4.474856262,457.411328706518,-19.8558265792082,-22.1053464209475,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1159",1159,"Mantidactylus charlotteae",26.5050514949625,NA,4,10.909963419,1264.21529029855,-19.2064759384952,-25.7680521601252,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
