"","species","order","mni_max","spec_max","mni_pred_max","lat_range","gcd","grid_cells","ma_range","asl_pred","svl","mean_lat","min_lat","hab.cat.b","habitat_width","hab_w_boot","family","genus","complete_case","abu_cat"
"254","Peltobatrachus pustulatus","Temnospondyli",1,1,1,0,6.99259341254375,1,0,NA,NA,-46.2787230236897,-44.8964120273919,"high",1,1,"Stereospondyli","Peltobatrachus",FALSE,NA
"255","Peltostega erici","Temnospondyli",1,1,1,0.0358676721910596,177.814624154238,2,0,NA,NA,56.7172030532053,56.1724635226281,"low",1,1,NA,"Peltostega",FALSE,NA
"256","Peronedon primus","Lepospondyli",6,5,6,1.41488618827231,162.275543757371,1,1,14,50.7387771430079,0.229604450424978,1.08003143360284,"low",1,1,"Keraterpetontidae","Peronedon",TRUE,1
"257","Phlegethontia longissima","Lepospondyli",2,19,2,3.63705631048036,4915.82378667546,3,1,21,68.8842474851162,-7.60142734928142,-9.67820982772086,"low",1,1,"Phlegethontiidae","Phlegethontia",TRUE,1
"258","Piceoerpeton willwoodense","Urodela",3,7,3,0,1072.02002548264,4,6,35.5552012581634,99.9916428932967,54.1536273832211,52.6640738202508,"highlow",3,1.08658008658009,"Scapherpetontidae","Piceoerpeton",TRUE,1
"259","Plagioscutum caspiense","Temnospondyli",NA,NA,NA,0.375213346904911,0,1,0,NA,NA,43.9851798697295,42.7284103006045,"low",1,1,"Plagiosauridae","Plagioscutum",FALSE,NA
"260","Plagioscutum ochevi","Temnospondyli",NA,NA,NA,1.71308256877968,185.308578905578,1,0,NA,NA,40.7244745548759,40.9573083303369,"highlow",2,1.21329639889197,"Plagiosauridae","Plagioscutum",FALSE,NA
"261","Plagiosternum danilovi","Temnospondyli",1,1,1,1.08520029822794,102.327166305739,1,0,NA,NA,42.5866369649688,42.7915039186286,"low",1,1,"Plagiosauridae","Plagiosternum",FALSE,NA
"262","Plagiosternum paraboliceps","Temnospondyli",1,1,1,0,67.3830356783771,2,0,NA,NA,40.7125272316885,40.1302148440003,"high",1,1,"Plagiosauridae","Plagiosternum",FALSE,NA
"263","Platyoposaurus rickardi","Temnospondyli",1,1,1,0,0,1,0,NA,NA,26.6043645921084,28.1136041362691,"low",1,1,"Archegosauridae","Platyoposaurus",FALSE,NA
"264","Platyoposaurus stuckenbergi","Temnospondyli",1,1,1,0.494134390231635,0,1,0,700,1829.54573747958,33.7900002553228,34.8832866191964,"low",1,1,"Archegosauridae","Platyoposaurus",TRUE,1
"265","Platyoposaurus vjuschkovi","Temnospondyli",1,1,1,0.681600069810368,65.2688058868102,1,0,NA,NA,26.9659991147095,26.9903641062887,"low",1,1,"Archegosauridae","Platyoposaurus",FALSE,NA
"266","Platyoposaurus watsoni","Temnospondyli",1,1,1,0.0669534732670241,0,1,0,240,636.761314354268,35.4988223181879,36.8324888765654,"low",1,1,"Archegosauridae","Platyoposaurus",TRUE,1
"267","Platystega depressa","Temnospondyli",1,1,1,0,93.6101996133977,1,0,NA,NA,56.33971281942,56.0938649041207,"low",1,1,"Platystegidae","Platystega",FALSE,NA
"268","Proacris mintoni","Salientia",1,1,1,0.303929269552055,0,1,0,NA,NA,32.8279055065803,31.5512893691055,"low",1,1,"Hylidae","Proacris",FALSE,NA
"269","Procerobatrachus paulus","Salientia",1,1,1,1.20674880392322,0,1,0,NA,NA,36.0272644067844,35.4134159124186,"high",1,1,"Discoglossidae","Procerobatrachus",FALSE,NA
"270","Prodesmodon copei","Urodela",8,30,8,5.06140348804951,1373.43144139596,5,11,NA,NA,55.3294545158895,46.6104509957364,"highlow",3,2.21572580645161,"Batrachosauroididae","Prodesmodon",FALSE,NA
"271","Prodiscoglossus vertaizoni","Salientia",2,2,2,0,0.157058930323473,1,0,30.9330250946021,86.9912340406049,40.8146750200532,40.3031542683013,"low",1,1,"Discoglossidae","Prodiscoglossus",TRUE,1
"272","Prosiren elinorae","Urodela",1,3,1,2.12579697738595,64.6435198007142,1,13,3.8,24.2917907641337,38.3352244982776,35.4919472074642,"low",2,1.3943661971831,"Prosirenidae","Prosiren",TRUE,1
"273","Prospea holoserisca","Salientia",1,1,1,0,0,1,1,13,25.0039618936088,40.3733412587204,40.8191705752284,"low",1,1,"Scaphiopodidae","Prospea",TRUE,1
"274","Pseudacris nordensis","Salientia",1,1,1,0,0,1,0,19.5553606919898,54.9941760462383,45.3335594236183,45.9397042354469,"highlow",2,1.14345991561181,"Hylidae","Pseudacris",TRUE,1
"275","Pseudobranchus robustus","Urodela",1,6,1,0.931393176501509,34.1228410547266,1,0,NA,NA,29.3042239845656,29.471777480951,"low",1,0.368563685636856,"Sirenidae","Pseudobranchus",FALSE,NA
"276","Pseudophlegethontia turnbullorum","Lepospondyli",1,1,1,0.0877288394702831,78.5305924519438,1,0,9,37.7676806109762,-6.49190248647135,-7.48991884203058,"low",1,1,"Pseudophlegethontiidae","Pseudophlegethontia",TRUE,1
"277","Puertollanopus omicrodactylus","Lepospondyli",NA,NA,NA,0.442150200344584,101.477274621416,1,0,NA,NA,-6.46729174524361,-7.20131775259787,"low",1,1,NA,"Puertollanopus",FALSE,NA
"278","Rana basaltica","Salientia",NA,NA,NA,0,0,1,1,NA,NA,35.7999241384363,36.5150640867335,"low",1,1,"Ranidae","Rana",FALSE,NA
"279","Rana carbonicola","Salientia",NA,NA,NA,0,86.8298579654935,1,1,NA,NA,43.8364608018806,43.9612609894162,"low",1,1,"Ranidae","Rana",FALSE,NA
"280","Regalerpeton weichangensis","Urodela",NA,NA,NA,0.386426949996291,0,1,1,NA,NA,39.6892116128961,41.337656337631,"low",1,1,NA,"Regalerpeton",FALSE,NA
"281","Rewana myriadens","Temnospondyli",1,2,1,0,37.1760362069607,1,0,132,356.72058088399,-69.3340883747721,-68.7845981003763,"low",1,1,"Derwentiidae","Rewana",TRUE,1
"282","Rewana quadricuneata","Temnospondyli",2,2,2,0.82163935096813,5.12742128991669,1,1,150,403.394914975358,-69.9097612019654,-69.8773775751728,"low",1,1,"Derwentiidae","Rewana",TRUE,1
"283","Rhadalognathus boweni","Temnospondyli",NA,NA,NA,0,91.415064136978,1,0,NA,NA,17.2870065795894,17.0007486876736,"low",1,1,"Heylerosauridae","Rhadalognathus",FALSE,NA
"284","Rhadinosteus parvus","Salientia",NA,NA,NA,0,0,1,0,NA,NA,27.4229408481336,28.7408900551675,"low",1,1,"Rhinophrynidae","Rhadinosteus",FALSE,NA
"285","Rhinesuchus wadiai","Temnospondyli",1,1,1,0.960755633046961,0,1,0,NA,NA,-49.2666595289412,-48.3481397912766,"low",1,1,"Rhinesuchidae","Rhinesuchus",FALSE,NA
"286","Rhinesuchus wolgodvinensis","Temnospondyli",1,2,1,0.863460179966242,246.753657610246,2,0,NA,NA,43.9818799431975,42.252666423474,"low",1,0.545833333333333,"Rhinesuchidae","Rhinesuchus",FALSE,NA
"287","Rhytidosteus capensis","Temnospondyli",1,1,1,0,12036.6861994875,2,1,NA,NA,-4.74779521943969,-50.8948820644004,"high",1,0.276,"Rhytidosteidae","Rhytidosteus",FALSE,NA
"288","Rileymillerus cosgriffi","Temnospondyli",1,1,1,0.685823792402409,0,1,0,NA,NA,8.01966274191986,7.51245419995288,"low",1,1,NA,"Rileymillerus",FALSE,NA
"289","Rotaryus gothae","Temnospondyli",NA,NA,NA,0,22.6217704173163,1,1,45.3,131.907749342376,6.9018344510135,7.0720976268661,"low",1,1,"Trematopidae","Rotaryus",FALSE,NA
"290","Rotaurisaurus contundo","Temnospondyli",1,1,1,0,16.2270372487258,1,0,39.6,117.122449944788,-82.6071196188294,-82.7973365964443,"low",1,1,"Lapillopsidae","Rotaurisaurus",TRUE,1
"291","Rubeostratilia texensis","Temnospondyli",NA,NA,NA,0,0,1,0,NA,NA,-0.976520321153655,-2.12130490160416,"low",1,1,"Amphibamidae","Rubeostratilia",FALSE,NA
"292","Rubricacaecilia monbaroni","Parabatrachia",3,3,3,0.343608381467795,0,1,0,NA,NA,17.3828309819899,17.4424112447403,"low",1,1,NA,"Rubricacaecilia",FALSE,NA
"293","Saevesoederberghia egredia","Salientia",2,3,2,0,0,1,4,NA,NA,36.634653856392,36.6887646758658,"high",1,1,"Discoglossidae","Saevesoederberghia",FALSE,NA
"294","Saharastega moradiensis","Temnospondyli",1,1,1,0.602232836933829,92.6753111650048,1,0,NA,NA,-4.18869359873864,-3.03835039528716,"low",1,1,NA,"Saharastega",FALSE,NA
